Game,Platform,Score,Genre
MLB 14: The,PlayStation 3,8.1,"Sports, Baseball"
MLB 14: The,PlayStation 4,8.1,"Sports, Baseball"
Dead Nation:,PlayStation 4,8,Shooter
Betrayer,PC,5,"Action, Adventure"
Age of Wond,PC,7.1,Strategy
Goat Simulat,PC,8,Action
Smite ,PC,8.5,Strategy
Hearthstone:,PC,9,"Card, Battle"
Hearthstone:,iPhone,9,"Card, Battle"
Steel Diver: S,Nintendo 3DS,7.8,Shooter
Yoshi's New I,Nintendo 3DS,7.9,Platformer
Dark Souls II,PlayStation 3,9,"Action, RPG"
Dark Souls II,Xbox 360,9,"Action, RPG"
Dark Souls II,PC,9,"Action, RPG"
Titanfall,Xbox One,8.9,"Shooter, First-Person"
Titanfall,Xbox 360,8.9,"Shooter, First-Person"
Titanfall (Col,Xbox One,8.9,"Shooter, First-Person"
Titanfall,PC,8.9,"Shooter, First-Person"
Final Fantasy,PlayStation 3,9.3,RPG
Final Fantasy,PlayStation V,9.3,RPG
Final Fantasy,PlayStation 3,9.3,RPG
Basement Cr,PlayStation 4,3,Action
The Walking,Xbox 360,9.5,Adventure
The Walking,iPhone,9.5,Adventure
The Walking,PC,9.5,Adventure
The Walking,PlayStation V,9.5,Adventure
The Walking,PlayStation 3,9.5,Adventure
The Witch an,PlayStation 3,5.8,"Action, RPG"
South Park: T,PlayStation 3,9,RPG
South Park: T,PC,9,RPG
South Park: T,Xbox 360,9,RPG
Thief ,PlayStation 3,6.5,"Adventure, Adventure"
The LEGO M,PlayStation 4,6.5,"Action, Adventure"
The LEGO M,Xbox One,6.5,"Action, Adventure"
The LEGO M,PC,6.5,"Action, Adventure"
The LEGO M,Wii U,6.5,"Action, Adventure"
The LEGO M,Xbox 360,6.5,"Action, Adventure"
The LEGO M,PlayStation 3,6.5,"Action, Adventure"
Borderlands,Xbox 360,5.7,"Shooter, RPG"
Lightning Ret,PlayStation 3,7,RPG
Flappy Bird,Android,5.4,Action
Flappy Bird,Windows Ph,5.4,Action
Flappy Bird,iPhone,5.4,Action
Dustforce,PlayStation 3,7.7,Platformer
Dustforce,PlayStation V,7.7,Platformer
Jazzpunk,PC,7,Adventure
Dragon Ball,PlayStation 3,6.6,Fighting
Dragon Ball,Xbox 360,6.6,Fighting
Dragon Ball,PlayStation V,6.6,Fighting
The Wolf Am,PC,8.5,Adventure
The Wolf Am,Xbox 360,8.5,Adventure
The Wolf Am,PlayStation 3,8.5,Adventure
Unepic,Wii U,7,Platformer
The Castle D,PC,4.5,Strategy
Surge Deluxe,PlayStation V,7.2,Puzzle
Rekoil,PC,3,Shooter
Fable Annive,Xbox 360,8,RPG
Octodad: Da,PC,7.8,Adventure
Blackguards,PC,7.8,RPG
Might and M,PC,7.3,RPG
Insurgency,PC,7.5,Shooter
Tomb Raider:,PlayStation 4,9.1,Action
Tomb Raider:,Xbox One,9.1,Action
Consortium,PC,7.2,Simulation
Minecraft,PlayStation 3,9.5,Action
KickBeat,PC,6.5,"Music, Action"
OlliOlli,PlayStation V,7.7,Action
Assassin's Cr,Xbox 360,5.2,Action
Assassin's Cr,PC,5.2,Action
Assassin's Cr,PlayStation 3,5.2,Action
X-Men: Battl,iPhone,4,"Card, Battle"
Broken Age:,PC,9.5,Adventure
Joe Danger I,iPhone,8.6,Action
Nidhogg,PC,9,Fighting
Continue?98,PC,7.9,Adventure
The Banner S,PC,8.6,"Strategy, RPG"
Don't Starve,PC,7.5,Adventure
Don't Starve,PlayStation 4,7.5,Adventure
Not the Robo,PC,6.5,Action
Halo: Spartan,Xbox One,5.8,Shooter
Zumba Fitnes,Xbox One,7.2,"Sports, Other"
Metal Gear R,PC,8.5,Action
Dr. Luigi,Wii U,7.5,Puzzle
Sorcery Saga:,PlayStation V,7.5,RPG
Sorcery Saga:,PlayStation V,7.5,RPG
Terraria,PlayStation V,9.2,"Action, RPG"
Max: The Cur,Xbox One,6,Action
NES Remix,Wii U,8,Party
Ravensword:,PC,5.6,"Action, RPG"
Borderlands,Xbox 360,7.3,"Shooter, RPG"
Borderlands,PC,7.3,"Shooter, RPG"
Ys: Memorie,PlayStation V,7.5,"Action, RPG"
The Room T,iPad,8.6,Puzzle
Republique,iPhone,8.5,Adventure
Cut The Rope,iPhone,8,Puzzle
Samurai Gun,PC,8.3,Shooter
Grand Theft,iPhone,8.3,"Action, Adventure"
AquaPazza,PlayStation 3,7,Fighting
The Walking,Xbox 360,8,Adventure
The Walking,iPhone,8,Adventure
The Walking,PC,8,Adventure
The Walking,Xbox 360,8,Adventure
The Walking,PlayStation V,8,Adventure
The Walking,iPhone,8,Adventure
The Walking,PlayStation V,8,Adventure
The Walking,PlayStation 3,8,Adventure
The Walking,PlayStation 3,8,Adventure
The Walking,PlayStation 3,8,Adventure
Assassin's Cr,PlayStation 4,7,"Action, Adventure"
World of War,PC,7.8,Flight
Angry Birds,iPhone,5,"Racing, Action"
Angry Birds,Android,5,"Racing, Action"
Saint Seiya: B,PlayStation 3,5.5,Fighting
Doki-Doki Un,PlayStation 4,7,Adventure
Doki-Doki Un,PlayStation 3,7,Adventure
Doki-Doki Un,PlayStation V,7,Adventure
Assassin's Cr,iPhone,5.5,Action
Air Conflicts:,PlayStation 3,3.5,"Flight, Action"
Air Conflicts:,Xbox 360,3.5,"Flight, Action"
Air Conflicts:,PC,3.5,"Flight, Action"
Young Justic,Xbox 360,4.8,"Action, RPG"
Young Justic,PC,4.8,"Action, RPG"
Young Justic,PlayStation 3,4.8,"Action, RPG"
The Novelist,PC,6.5,Puzzle
The Amazing,PlayStation V,4.8,Action
Peggle 2,Xbox One,9,"Puzzle, Action"
Adventure Ti,Xbox 360,3.5,Adventure
Adventure Ti,Nintendo 3DS,3.5,Adventure
Adventure Ti,PlayStation 3,3.5,Adventure
Adventure Ti,Wii U,3.5,Adventure
Adventure Ti,PC,3.5,Adventure
Gran Turismo,PlayStation 3,8,Racing
The Guided F,PlayStation 3,7,RPG
The Raven: L,Linux,6.5,Adventure
The Raven: L,Macintosh,6.5,Adventure
The Raven: L,Xbox 360,6.5,Adventure
The Raven: L,PC,6.5,Adventure
The Raven: L,PlayStation 3,6.5,Adventure
Bravely Defa,Nintendo 3DS,8.6,RPG
Warframe,PlayStation 4,7.5,Shooter
Escape Plan,PlayStation 4,8,"Puzzle, Action"
Flower,PlayStation V,9,Action
Tiny Brains,PlayStation 3,4.5,Puzzle
Tiny Brains,PlayStation 4,4.5,Puzzle
Tiny Brains,PC,4.5,Puzzle
Redshirt,PC,7.4,Action
X Rebirth,PC,4.3,Simulation
DC Universe,PlayStation 4,8,RPG
FIFA 14,Xbox One,9.1,Sports
FIFA 14,PlayStation 4,9.1,Sports
FIFA 14,Xbox 360,9.1,Sports
Baldur's Gat,PC,8.3,RPG
Device 6,iPhone,9.5,"Puzzle, Adventure"
Deadfall Adv,PC,4,Shooter
Chivalry: Dea,PC,8.1,Action
Battlefield 4,Xbox One,8.5,Shooter
Zoo Tycoon ,Xbox One,5.5,Simulation
Fighter Withi,Xbox One,2.7,"Sports, Fighting"
Injustice: Go,PC,8.2,Fighting
Injustice: Go,PlayStation V,8.2,Fighting
Injustice: Go,PlayStation 4,8.2,Fighting
Mario Party: I,Nintendo 3DS,5.5,Party
Super Mother,PlayStation 4,6,"Action, Puzzle"
Just Dance 2,PlayStation 4,7.5,Music
Ryse: Son of,Xbox One,6.8,"Action, Adventure"
Wii Fit U,Wii U,7.5,Sports
Need for Spe,PC,8,Racing
Need for Spe,PlayStation 4,8,Racing
Need for Spe,Xbox One,8,Racing
SimCity: Citie,PC,7.5,Simulation
Forza Motors,Xbox One,8.8,Racing
Tearaway,PlayStation V,9.3,Adventure
Xbox One,Xbox One,7.8,None
Battlefield 4,PlayStation 4,8.5,Shooter
Super Mario,Wii U,9.6,Platformer
NBA Live 14,Xbox One,4.3,Sports
NBA Live 14,PlayStation 4,4.3,Sports
The Pinball A,PlayStation 4,9,Pinball
The Pinball A,PC,9,Pinball
Dead Rising,Xbox One,8.3,Action
Powerstar Go,Xbox One,7,Sports
Crimson Dra,Xbox One,5.9,Action
LocoCycle,Xbox One,6.4,Action
Killer Instinct,Xbox One,8.4,Fighting
Madden NFL,PlayStation 4,7.6,Sports
Madden NFL,Xbox One,7.6,Sports
The Legend o,Nintendo 3DS,9.4,Adventure
PlayStation 4,PlayStation 4,8.2,None
Killzone: Sha,PlayStation 4,8,Shooter
Knack,PlayStation 4,5.9,Action
Resogun,PlayStation 4,9,Shooter
Contrast,PC,7.5,"Puzzle, Action"
Contrast,PlayStation 4,7.5,"Puzzle, Action"
Flower,PlayStation 4,9.5,Action
Stick it to Th,PlayStation 3,8.6,"Adventure, Platformer"
NBA 2K14,PlayStation 4,8.9,Sports
NBA 2K14,Xbox One,8.9,Sports
Regular Sho,Nintendo 3DS,6.2,Action
Ratchet &am,PlayStation 3,8.2,Platformer
Bioshock Infi,PC,7,Shooter
Bioshock Infi,Xbox 360,7,Shooter
Bioshock Infi,PlayStation 3,7,Shooter
Professor Lay,Nintendo 3DS,8.5,Adventure
XCOM: Enem,PlayStation 3,9,Strategy
XCOM: Enem,Xbox 360,9,Strategy
XCOM: Enem,PC,9,Strategy
Path of Exile ,PC,8.8,"Action, RPG"
Mario &amp;,Wii U,4.5,Sports
Rayman Fiest,iPhone,8.9,Platformer
Call of Duty:,PlayStation 4,8.8,Shooter
Call of Duty:,PlayStation 3,8.8,Shooter
Call of Duty:,PC,8.8,Shooter
Call of Duty:,Xbox One,8.8,Shooter
Call of Duty:,Xbox 360,8.8,Shooter
Call of Duty:,Wii U,8.8,Shooter
Hometown St,Nintendo 3DS,5,Adventure
SpongeBob S,PlayStation 3,3.5,Adventure
Football Man,PC,8,"Sports, Simulation"
Football Man,Macintosh,8,"Sports, Simulation"
Football Man,Linux,8,"Sports, Simulation"
Nickelodeon',Nintendo 3DS,5,Action
Assassin's Cr,PlayStation 4,8.5,"Action, Adventure"
Assassin's Cr,Wii U,8.5,"Action, Adventure"
Assassin's Cr,PC,8.5,"Action, Adventure"
Assassin's Cr,PlayStation 3,8.5,"Action, Adventure"
Assassin's Cr,Xbox 360,8.5,"Action, Adventure"
Assassin's Cr,Xbox One,8.5,"Action, Adventure"
Battlefield 4,PC,8.5,Shooter
Battlefield 4,Xbox 360,8,Shooter
Battlefield 4,PlayStation 3,8,Shooter
WWE 2K14,Xbox 360,8.7,Wrestling
WWE 2K14 ,PlayStation 3,8.7,Wrestling
Prime World,PC,5.9,RPG
Batman: Arkh,PC,7.4,Action
Batman: Arkh,PlayStation 3,7.4,Action
Batman: Arkh,Xbox 360,7.4,Action
Batman: Arkh,Nintendo 3DS,7.4,Action
Batman: Arkh,PlayStation V,7.4,Action
Batman: Arkh,PC,7.8,Action
Batman: Arkh,Xbox 360,7.8,Action
Batman: Arkh,PlayStation 3,7.8,Action
Batman: Arkh,Wii U,7.8,Action
Phoenix Wrig,Nintendo 3DS,7.2,Adventure
How to Survi,PC,5.4,Action
How to Survi,Xbox 360,5.4,Action
Wii Party U,Wii U,7.5,Party
Sonic: Lost W,Nintendo 3DS,6.8,Platformer
Rocksmith 20,PlayStation 3,9,Music
Rocksmith 20,Xbox 360,9,Music
Rocksmith 20,PC,9,Music
Rocksmith 20,Macintosh,9,Music
Rocksmith 20,PlayStation 3,9,Music
Rocksmith 20,Xbox 360,9,Music
Borderlands,Xbox 360,7,"Shooter, RPG"
LEGO Marvel,PlayStation 3,9,Action
LEGO Marvel,Xbox One,9,Action
LEGO Marvel,PC,9,Action
LEGO Marvel,PlayStation 4,9,Action
LEGO Marvel,Xbox 360,9,Action
LEGO Marvel,Wii U,9,Action
Deus Ex: Hu,Wii U,8.3,Shooter
Rune Factory,Nintendo 3DS,8,RPG
The Stanley P,PC,8.8,Adventure
The Stanley P,Macintosh,8.8,Adventure
Sonic: Lost W,Wii U,5.8,Platformer
Glare,PC,7.1,"Platformer, Action"
Knock-Knock,PC,6.2,Adventure
140,PC,8,Platformer
Soundodger,PC,7.3,"Music, Action"
Skylanders S,Xbox 360,8.2,"Action, Adventure"
Skylanders S,PlayStation 3,8.2,"Action, Adventure"
Skylanders S,Wii U,8.2,"Action, Adventure"
Skylanders S,Wii,8.2,"Action, Adventure"
Skylanders S,Nintendo 3DS,7.1,Adventure
Legends of A,PC,4.7,"Action, RPG"
Marvel Puzzl,iPhone,9.1,"Puzzle, RPG"
Just Dance 2,Wii U,7.9,Music
Just Dance 2,Xbox 360,7.5,Music
Just Dance 2,Wii,7.7,Music
Just Dance 2,PlayStation 3,7.7,Music
The Wolf Am,Xbox 360,9,Adventure
The Wolf Am,iPad,9,Adventure
The Wolf Am,PC,9,Adventure
The Wolf Am,PlayStation 3,9,Adventure
Dead Man's,iPhone,6.2,Card
Dragon's Pro,PC,5.1,RPG
Beyond: Two,PlayStation 3,6,Adventure
Lone Survivor,PlayStation V,8.6,Adventure
The Raven: L,Linux,5.5,Adventure
The Raven: L,PC,5.5,Adventure
The Raven: L,Xbox 360,5.5,Adventure
The Raven: L,Macintosh,5.5,Adventure
The Raven: L,PlayStation 3,5.5,Adventure
Pokemon Y,Nintendo 3DS,9,RPG
Pokemon X,Nintendo 3DS,9,RPG
F1 2013,PlayStation 3,8,Racing
F1 2013,Xbox 360,8,Racing
F1 2013,PC,8,Racing
Alien Rage,PC,4.4,Shooter
Dragon Fanta,PlayStation 3,3,RPG
Dragon Fanta,PlayStation V,3,RPG
Shadow Warr,PC,8.6,Shooter
Guardians of,PC,7.9,Battle
Takedown: R,PC,4,Shooter
Armored Cor,PlayStation 3,7.6,Simulation
Rain,PlayStation 3,7,Adventure
Disgaea D2:,PlayStation 3,9.1,Action
MechWarrior,PC,7.3,"Action, Simulation"
Carnivores: D,PlayStation 3,4,Shooter
Warhammer,iPhone,7.5,"Action, RPG"
NBA 2K14,Xbox 360,9.3,Sports
NBA 2K14,PlayStation 3,9.3,Sports
Scribblenauts,PC,9.1,"Puzzle, Action"
Scribblenauts,Nintendo 3DS,9.1,"Puzzle, Action"
Scribblenauts,Wii U,9.1,"Puzzle, Action"
Etrian Odyss,Nintendo 3DS,8.5,RPG
FIFA 14,PlayStation 3,9,Sports
FIFA 14,PC,9,Sports
Narco Terror,PlayStation 3,6.5,Shooter
Narco Terror,PC,6.5,Shooter
ArmA III,PC,7,Shooter
Pro Evolution,Xbox 360,8.4,Sports
Pro Evolution,PlayStation 3,8.4,Sports
Pro Evolution,PC,8.4,Sports
Infinity Blade,iPhone,9.1,"Fighting, Action"
SteamWorld,PlayStation V,9.5,Platformer
SteamWorld,PlayStation 4,9.5,Platformer
SteamWorld,Nintendo 3DS,9.5,Platformer
SteamWorld,PC,9.5,Platformer
The Legend o,Wii U,9.8,"Action, Adventure"
The Legend o,Wii U,9.8,"Action, Adventure"
Grand Theft,PlayStation 3,10,"Action, Adventure"
Grand Theft,Xbox 360,10,"Action, Adventure"
Call of Duty:,iPhone,6,Shooter
Final Fantasy,PlayStation 4,8.6,RPG
Final Fantasy,PC,8.6,RPG
Final Fantasy,PlayStation 3,8.6,RPG
Kingdom Hea,PlayStation 3,8.5,"Action, Compilation"
Amnesia: A,PC,8.3,Adventure
Diablo III,PlayStation 3,9,"Action, RPG"
Diablo III,Xbox 360,9,"Action, RPG"
Total War: R,PC,8.8,Strategy
NHL 14,PlayStation 3,8.3,Sports
NHL 14,Xbox 360,8.3,Sports
Puppeteer,PlayStation 3,8.5,Platformer
Divekick,PC,7,Fighting
Divekick,PlayStation 3,7,Fighting
Divekick,PlayStation V,7,Fighting
Killzone: Mer,PlayStation V,8,Shooter
Outlast,PlayStation 4,7.8,"Action, Adventure"
Outlast,PC,7.8,"Action, Adventure"
Castle of Illu,PC,6.7,Platformer
Castle of Illu,Xbox 360,6.7,Platformer
Teenage Mut,Xbox 360,6.1,Action
Space Hulk (,PC,6.7,Strategy
Guncraft,PC,6.4,Shooter
Killer is Dead,PlayStation 3,5,Action
Killer is Dead,Xbox 360,5,Action
Lost Planet 3,PlayStation 3,6.2,Action
Lost Planet 3,Xbox 360,6.2,Action
Lost Planet 3,PC,6.2,Action
Teleglitch: Di,Linux,7.8,Shooter
Teleglitch: Di,PC,7.8,Shooter
Teleglitch: Di,Macintosh,7.8,Shooter
Rayman Lege,Xbox 360,9.5,Platformer
Rayman Lege,PlayStation 3,9.5,Platformer
Rayman Lege,PlayStation 4,9.5,Platformer
Rayman Lege,Wii U,9.5,Platformer
Rayman Lege,Xbox One,9.5,Platformer
Rayman Lege,PC,9.5,Platformer
Madden NFL,Xbox 360,8.5,Sports
Madden NFL,PlayStation 3,8.5,Sports
Flashback,PlayStation 3,5.8,Action
Flashback,Xbox 360,5.8,Action
Flashback,PC,5.8,Action
Charlie Murd,Xbox 360,7,Action
The Bureau:,Xbox 360,5.5,Shooter
The Bureau:,PC,5.5,Shooter
The Bureau:,PlayStation 3,5.5,Shooter
The Wonderf,Wii U,7.4,Action
Disney Infinit,Xbox 360,8.7,Action
Disney Infinit,PC,8.7,Action
Disney Infinit,PC,8.7,Action
Disney Infinit,Wii U,8.7,Action
Disney Infinit,PlayStation 3,8.7,Action
Gone Home,Macintosh,9.5,Simulation
Gone Home,PC,9.5,Simulation
Gone Home,Linux,9.5,Simulation
Europa Unive,PC,8.9,Strategy
Tom Clancy's,PC,9.2,Action
Tom Clancy's,PlayStation 3,9.2,Action
Tom Clancy's,Wii U,9.2,Action
Tom Clancy's,Xbox 360,9.2,Action
Saints Row IV,Xbox 360,7.3,Action
Saints Row IV,PC,7.3,Action
Saints Row IV,PlayStation 3,7.3,Action
Dishonored:,Xbox 360,7.5,Action
Dishonored:,PC,7.5,Action
Dishonored:,PlayStation 3,7.5,Action
PayDay 2,PlayStation 3,8,Shooter
PayDay 2,PC,8,Shooter
PayDay 2,Xbox 360,8,Shooter
"Papers, Pleas",PC,8.7,Simulation
DuckTales R,Wii U,7,Platformer
DuckTales R,PC,7,Platformer
DuckTales R,PlayStation 3,7,Platformer
Guacamelee!,PC,9.1,"Platformer, Action"
Ibb &amp; O,PlayStation 3,8.3,Platformer
Divinity: Dra,PC,7.8,"Strategy, RPG"
Spelunky,PC,9,Platformer
Brothers: A T,PC,8.2,Adventure
Brothers: A T,Xbox 360,8.2,Adventure
Brothers: A T,PlayStation 3,8.2,Adventure
Rise of the Tr,PC,4.3,Shooter
Tales of Xillia,PlayStation 3,8,RPG
Dragon's Cro,PlayStation V,8.5,Action
Dragon's Cro,PlayStation 3,8.5,Action
Halo: Spartan,Windows Ph,6.7,Shooter
Halo: Spartan,PC,6.7,Shooter
Halo: Spartan,Windows Sur,6.7,Shooter
The Raven: L,PlayStation 3,9,Adventure
The Raven: L,PC,9,Adventure
The Raven: L,Macintosh,9,Adventure
The Raven: L,Linux,9,Adventure
The Raven: L,Xbox 360,9,Adventure
Cloudberry Ki,PlayStation 3,7.4,Platformer
Cloudberry Ki,Wii U,7.4,Platformer
PixelJunk Mo,PlayStation V,9,Strategy
Jak and Daxt,PlayStation V,6.8,Platformer
Stealth Inc.:,PlayStation 3,9.2,Platformer
Stealth Inc.:,PlayStation V,9.2,Platformer
Rogue Legac,PC,9,RPG
Attack of the,Nintendo 3DS,6.2,Adventure
Shadowrun R,PC,7.3,RPG
EarthBound,Wii U,9,RPG
Dota 2,PC,9.4,RPG
R.I.P.D.: The,PC,4.5,Action
Sine Mora,iPhone,4.9,Shooter
Velocity Ultra,PC,8.4,Shooter
Velocity Ultra,PlayStation 3,8.4,Shooter
Velocity Ultra,PlayStation V,8.4,Shooter
Pikmin 3,Wii U,8.8,Strategy
Dynasty War,PlayStation 3,8.7,Action
Dynasty War,Xbox 360,8.7,Action
Monster Man,Nintendo 3DS,7.9,Adventure
Warrior's Wa,Nintendo 3DS,7,Strategy
Flower Town,Nintendo 3DS,5,Simulation
Mii Force,Nintendo 3DS,8.5,Shooter
Plants vs. Zo,iPhone,8.7,Strategy
Legends of D,PC,2.8,RPG
Pacific Rim,Xbox 360,5.3,Action
Storm,PC,4,"Puzzle, Action"
Limbo,iPhone,9,Platformer
Mario &amp;,Nintendo 3DS,8,"Action, RPG"
Man of Steel,iPad,6,Action
Man of Steel,iPhone,6,Action
Mutant Mud,PlayStation V,8,Platformer
Mutant Mud,PlayStation 3,8,Platformer
Mutant Mud,Wii U,8,Platformer
Dark,Xbox 360,4,Action
Dark,PC,4,Action
Time and Ete,PlayStation 3,5.6,RPG
Deus Ex: The,iPhone,8.2,Shooter
Deus Ex: The,Android,8.2,Shooter
Leisure Suit L,PC,4.1,"Adventure, Adult"
Shin Megami,Nintendo 3DS,8.5,RPG
Kentucky Rou,Macintosh,9.1,Adventure
Kentucky Rou,PC,9.1,Adventure
Kentucky Rou,Linux,9.1,Adventure
Sid Meier's C,Macintosh,9.4,Strategy
Sid Meier's C,PC,9.4,Strategy
NCAA Footba,PlayStation 3,7.4,Sports
NCAA Footba,Xbox 360,7.4,Sports
The Walking,PlayStation 3,8.9,"Action, Adventure"
The Walking,Xbox 360,8.9,"Action, Adventure"
The Walking,PC,8.9,"Action, Adventure"
The Walking,Macintosh,8.9,"Action, Adventure"
Magic: The G,PlayStation 3,8.1,"Card, Battle"
Magic: The G,PC,8.1,"Card, Battle"
Magic: The G,Android,8.1,"Card, Battle"
Magic: The G,Xbox 360,8.1,"Card, Battle"
Magic: The G,iPad,8.1,"Card, Battle"
New Super L,Wii U,7.3,Platformer
New Super L,Wii U,7.3,Platformer
Red Orchestr,PC,8.3,Shooter
Dungeons &,Xbox 360,8.3,Action
Dungeons &,PC,8.3,Action
Dungeons &,Wii U,8.3,Action
Dungeons &,PlayStation 3,8.3,Action
World War Z,iPhone,5.3,Shooter
Penny Arcad,PC,6,RPG
Penny Arcad,Xbox 360,6,RPG
Project X Zon,Nintendo 3DS,8,RPG
Disney Epic,PlayStation V,6.2,"Action, Adventure"
Neverwinter,PC,6.8,"Action, RPG"
Company of,PC,8.4,Strategy
Magrunner:,PC,6.8,"Puzzle, Action"
Deadpool,PlayStation 3,6,Action
Deadpool,PC,6,Action
Deadpool,Xbox 360,6,Action
Borderlands,Xbox 360,9.2,"Shooter, RPG"
XCOM: Enem,iPhone,8.5,Strategy
Muramasa R,PlayStation V,8,Simulation
Marvel Hero,PC,5.7,RPG
Game &amp;,Wii U,5.1,Party
Gunpoint,PC,9,"Puzzle, Action"
The Night of,PC,7.9,Adventure
The Night of,Macintosh,7.9,Adventure
The Incredibl,PC,7,"Action, RPG"
The Incredibl,Macintosh,7,"Action, RPG"
Wargame: Ai,PC,8.4,Strategy
The Denpa M,Nintendo 3DS,7.9,RPG
The Last of U,PlayStation 3,10,Action
State of Deca,Xbox 360,8.9,Action
Gravity Guy 2,iPhone,7,Platformer
Animal Cross,Nintendo 3DS,9.6,Simulation
CastleStorm,Xbox 360,8,Strategy
CastleStorm,PlayStation 3,8,Strategy
The Starship,Nintendo 3DS,5.3,Adventure
Remember M,PlayStation 3,5.9,"Action, Adventure"
Remember M,Xbox 360,5.9,"Action, Adventure"
Sniper Elite V,Wii U,7,Action
The Swapper,PC,9.3,Platformer
Impossible R,iPhone,8.4,None
Tomb Breake,iPhone,7.5,Puzzle
Star Wars Kni,iPad,8.8,RPG
Dust 514,PlayStation 3,5.8,Shooter
Ratchet &am,PlayStation V,5.7,Action
Grid 2,Xbox 360,8,Racing
Grid 2,PC,8,Racing
Grid 2,PlayStation 3,8,Racing
Fallen Encha,PC,8,Strategy
Zombie Tyco,PlayStation 3,4.9,Simulation
Zombie Tyco,PlayStation V,4.9,Simulation
Sorcery!,iPhone,8.8,Adventure
Star Comman,iPhone,6.7,Simulation
Paper Titans,iPhone,8.2,"Puzzle, Adventure"
Gun Comman,iPhone,7.3,Shooter
Age of Wush,PC,7,RPG
The House of,iPhone,7.7,Shooter
Mars: War Lo,PC,5.3,"Action, RPG"
Mittens,iPhone,6.2,"Puzzle, Action"
Zeno Clash II,PC,6.4,Action
Fez,PlayStation V,9.5,Platformer
Fez,PlayStation 4,9.5,Platformer
Fez,PC,9.5,Platformer
Fez,PlayStation 3,9.5,Platformer
Robot Unicor,iPhone,7.9,Action
Guilty Gear X,PlayStation V,7.9,Fighting
Telltale Gam,PC,7.5,Card
Telltale Gam,Macintosh,7.5,Card
Iron Man 3: T,iPhone,6.6,Action
Soul Sacrifice,PlayStation V,7.7,Action
Sacred Citad,PC,5.9,Action
Far Cry 3: Blo,PC,8,Shooter
Far Cry 3: Blo,PlayStation 3,8,Shooter
Far Cry 3: Blo,Xbox 360,8,Shooter
Dragon's Do,Xbox 360,7.9,"Action, RPG"
Dragon's Do,PlayStation 3,7.9,"Action, RPG"
Telltale Gam,Xbox 360,7.5,Card
